,Planet,Earth_Masses,Temperature_Kelvin,Year,Distance
1489,Kepler-245 e,49.5768,1105,2016,2998.9392
1490,Kepler-246 b,66.4202,983.3,2014,2506.5162
1491,Kepler-246 c,42.5852,731.3,2014,2506.5162
1492,Kepler-247 b,46.3988,1030.9,2014,2267.5908
1493,Kepler-247 c,115.997,728.8,2014,2267.5908
1494,Kepler-247 d,111.8656,563,2014,2267.5908
1495,Kepler-248 b,85.4882,882.5,2014,2774.586
1496,Kepler-248 c,115.3614,643.9,2014,2774.586
1497,Kepler-249 b,30.8266,573,2014,752.245
1498,Kepler-249 c,42.903,443.9,2014,752.245
1499,Kepler-249 d,44.492,343.4,2014,752.245
1500,Kepler-25 b,76.9076,1305.1,2012,622.66
1501,Kepler-25 c,147.4592,1029.2,2012,622.66
1502,Kepler-250 b,32.0978,993,2014,2915.8092
1503,Kepler-250 c,64.5134,828,2014,2915.8092
1504,Kepler-250 d,61.6532,612.8,2014,2915.8092
1505,Kepler-251 b,37.8182,1065.8,2014,3314.931
1506,Kepler-251 c,78.4966,705.5,2014,3314.931
1507,Kepler-251 d,78.4966,577.4,2014,3314.931
1508,Kepler-251 e,78.4966,387.6,2014,3314.931
1509,Kepler-252 b,34.958,570.9,2014,1098.9786
1510,Kepler-252 c,61.0176,485.4,2014,1098.9786
1511,Kepler-253 b,46.081,1021.2,2014,2997.9612
1512,Kepler-253 c,75.0008,731.8,2014,2997.9612
1513,Kepler-253 d,89.9374,605.9,2014,2997.9612
1514,Kepler-254 b,109.641,1088.4,2014,5240.3196
1515,Kepler-254 c,61.0176,845.9,2014,5240.3196
1516,Kepler-254 d,70.8694,737.2,2014,5240.3196
1517,Kepler-255 b,43.8564,1037.7,2014,4196.8262
1518,Kepler-255 c,84.8526,862.7,2014,4196.8262
1519,Kepler-255 d,37.5004,1834.2,2016,4196.8262
1520,Kepler-256 b,45.1276,1857.8,2014,4546.559
1521,Kepler-256 c,61.0176,1452.9,2014,4546.559
1522,Kepler-256 d,70.2338,1211.8,2014,4546.559
1523,Kepler-256 e,66.738,990.8,2014,4546.559
1524,Kepler-257 b,74.0474,1361.1,2014,3804.5178
1525,Kepler-257 c,153.4974,970.1,2014,3804.5178
1526,Kepler-257 d,140.4676,624.5,2014,3804.5178
1527,Kepler-258 b,115.0436,689.4,2014,2725.7838
1528,Kepler-258 c,102.3316,504.6,2014,2725.7838
1529,Kepler-259 b,79.45,965,2014,3854.95
1530,Kepler-259 c,76.5898,582.4,2014,3854.95
1531,Kepler-26 b,102.0138,484.8,2014,1572.5914
1532,Kepler-26 c,102.0138,432.9,2014,1572.5914
1533,Kepler-26 d,30.191,766.3,2014,1572.5914
1534,Kepler-26 e,68.327,324.1,2014,1572.5914
1535,Kepler-260 b,56.8862,833.5,2014,1758.281
1536,Kepler-260 c,49.259,396.5,2014,1758.281
1537,Kepler-261 b,61.6532,717.7,2014,1171.3506
1538,Kepler-261 c,56.5684,538.5,2014,1171.3506
