Planet,Earth_Masses,Temperature_Kelvin,Year
HD 76700 b,73.7296,1412.4,2002
HD 77338 b,15.89,1029.1,2012
HD 7924 b,8.5806,955.6,2009
HD 7924 c,7.945,690.1,2015
HD 7924 d,6.356,630.7,2015
HD 79498 b,427.7588,259.4,2012
HD 80606 b,1236.242,1547.9,2001
HD 81040 b,2185.5106,274.9,2005
HD 81688 b,855.1998,1161.1,2008
HD 82886 b,414.729,397.3,2011
HD 82943 b,504.9842,311.7,2003
HD 82943 c,504.9842,463.6,2003
HD 83443 b,125.8488,1277.3,2002
HD 8535 b,216.7396,209.7,2009
HD 85390 b,41.9496,258.1,2009
HD 85512 b,3.4958,443.5,2011
HD 8574 b,573.9468,476.9,2003
HD 86081 b,475.4288,1710.2,2006
HD 86264 b,2106.0606,404.5,2009
HD 87883 b,558.0568,162.7,2009
HD 88133 b,94.0688,1812,2004
HD 89307 b,569.1798,188.7,2004
HD 90156 b,18.1146,623.9,2009
HD 92788 b,1132.6392,318.9,2000
HD 93083 b,116.9504,403.2,2005
HD 9446 b,222.1422,688.4,2010
HD 9446 c,576.807,341.6,2010
HD 95089 b,358.7962,460,2010
HD 95127 b,1600.4408,852,2015
HD 95872 b,1459.9732,116.3,2015
HD 96063 b,362.9276,448.7,2011
HD 96127 b,1273.4246,967.3,2011
HD 96167 b,217.693,626.7,2009
HD 97658 b,7.945,757.9,2010
HD 98219 b,675.0072,363.4,2011
HD 99109 b,160.1712,249.7,2006
HD 99706 b,445.8734,470.5,2011
HIP 116454 b,11.7586,831.2,2014
HIP 14810 b,1231.1572,1247,2006
HIP 14810 c,405.195,447.1,2006
HIP 14810 d,184.6418,242.1,2009
HIP 5158 b,453.1828,363.9,2009
HIP 57050 b,94.7044,306.7,2010
HIP 57274 b,11.7586,766.3,2011
HIP 57274 c,130.298,448.9,2011
HIP 57274 d,168.1162,215.2,2011
HIP 67851 b,450.6404,888,2014
HIP 91258 b,339.4104,1131.6,2013
HIP 97233 b,6307.3766,562,2014
KELT-3 b,462.0812,1821.3,2012
KELT-6 b,136.9718,1485.9,2013
KELT-7 b,401.6992,2049.9,2015
Kepler-10 b,4.4492,2153.7,2011
Kepler-10 c,16.8434,569.5,2011
Kepler-100 c,62.2888,1033.8,2014
Kepler-1000 b,135.065,523.8,2016
Kepler-1001 b,89.3018,744.3,2016
Kepler-1002 b,48.6234,1574,2016
Kepler-1003 b,50.5302,1466.5,2016
Kepler-1004 b,177.968,1779.7,2016
Kepler-1005 b,42.5852,1099.4,2016
Kepler-1006 b,43.5386,609,2016
Kepler-1007 b,40.6784,805.3,2016
Kepler-1008 b,36.2292,689.3,2016
Kepler-1009 b,61.6532,509.1,2016
Kepler-101 b,166.5272,1633.9,2014
Kepler-101 c,37.8182,1361.3,2014
Kepler-1010 b,65.7846,517.6,2016
Kepler-1011 b,81.3568,992.7,2016
Kepler-1012 b,36.547,1043.2,2016
Kepler-1013 b,61.0176,578.4,2016
Kepler-1014 b,67.6914,681.9,2016
Kepler-1015 b,100.7426,1165.3,2016
Kepler-1016 b,61.6532,1607.2,2016
Kepler-1016 c,104.2384,425.1,2016
Kepler-1017 b,56.5684,920.8,2016
Kepler-1018 b,73.094,494.9,2016
Kepler-1019 b,41.314,1183.2,2016
Kepler-102 b,13.3476,866,2014
Kepler-102 d,4.1314,693.1,2014
Kepler-102 e,9.534,596.9,2014
Kepler-102 f,8.5806,500.1,2014
Kepler-1020 b,64.5134,359,2016
Kepler-1021 b,66.1024,743.7,2016
Kepler-1022 b,67.0558,601.5,2016
Kepler-1023 b,74.683,456.5,2016
Kepler-1024 b,110.9122,400.4,2016
Kepler-1025 b,56.2506,658,2016
Kepler-1026 b,62.6066,463,2016
Kepler-1027 b,25.1062,1389.5,2016
Kepler-1028 b,37.8182,1328.5,2016
Kepler-1029 b,35.5936,958.3,2016
Kepler-103 b,9.534,946.3,2014
Kepler-103 c,145.8702,422.3,2014
Kepler-1030 b,70.2338,579,2016
Kepler-1031 b,24.7884,2019.1,2016
Kepler-1032 b,53.0726,947.7,2016
Kepler-1033 b,71.1872,943.9,2016
Kepler-1034 b,64.1956,719.5,2016
Kepler-1035 b,33.0512,1407.1,2016
Kepler-1036 b,85.4882,365,2016
Kepler-1037 b,36.2292,1573.3,2016
Kepler-1038 b,100.107,323.8,2016
Kepler-1039 b,41.314,1535.8,2016
Kepler-104 c,88.6662,796.2,2014
Kepler-104 d,101.3782,613.4,2014
Kepler-1040 b,59.1108,329.3,2016
Kepler-1041 b,83.2636,725,2016
Kepler-1042 b,61.971,682.7,2016
Kepler-1043 b,72.1406,552.6,2016
Kepler-1044 b,75.6364,1133.9,2016
Kepler-1045 b,76.272,569.7,2016
Kepler-1046 b,48.6234,849.1,2016
Kepler-1047 b,59.1108,543.4,2016
Kepler-1047 c,27.9664,1413.9,2016
Kepler-1048 b,45.7632,738.3,2016
Kepler-1049 b,27.013,702.4,2016
Kepler-105 c,45.7632,1132.9,2014
Kepler-1050 b,45.4454,872.8,2016
Kepler-1050 c,41.9496,785.1,2016
Kepler-1051 b,96.2934,962.7,2016
Kepler-1052 b,82.9458,627.4,2016
Kepler-1053 b,27.6486,1016.2,2016
Kepler-1054 b,74.683,1472.9,2016
Kepler-1055 b,34.958,1454.6,2016
Kepler-1056 b,85.4882,752.1,2016
Kepler-1057 b,95.34,886,2016
Kepler-1058 b,77.2254,291.6,2016
Kepler-1059 b,48.9412,967.6,2016
Kepler-106 b,23.1994,1122.9,2014
Kepler-106 c,70.8694,863.2,2014
Kepler-106 e,72.4584,583.9,2014
Kepler-1060 b,67.3736,552.2,2016
Kepler-1061 b,56.2506,1520.3,2016
Kepler-1062 b,49.8946,661.2,2016
Kepler-1063 b,42.2674,893,2016
Kepler-1064 b,43.8564,636.5,2016
Kepler-1065 b,105.8274,1233.6,2016
Kepler-1065 c,45.4454,1419.2,2016
Kepler-1066 b,67.0558,1583.8,2016
Kepler-1067 b,22.5638,2052.2,2016
Kepler-1068 b,102.9672,782,2016
Kepler-1069 b,45.4454,678.9,2016
Kepler-107 b,44.1742,1628.9,2014
Kepler-107 c,51.1658,1410.1,2014
Kepler-107 d,30.191,1199.7,2014
Kepler-107 e,97.8824,976.7,2014
Kepler-1070 b,48.9412,1305.8,2016
Kepler-1071 b,67.3736,903.9,2016
Kepler-1072 b,44.8098,2049.1,2016
Kepler-1073 b,65.149,971.3,2016
Kepler-1073 c,46.3988,1254.8,2016
